frame_number,x_center,y_center,x_size,y_size
0,934,587,94,93
1,928,583,98,93
2,914,580,110,90
3,895,575,108,96
4,884,570,97,94
5,874,567,91,93
6,866,562,93,90
7,860,566,99,93
8,850,567,99,93
9,841,567,97,91
10,835,569,93,93
11,829,570,91,90
12,821,581,91,90
13,817,589,95,98
14,812,594,95,96
15,809,600,91,92
16,807,605,91,92
17,805,608,91,91
18,804,613,91,89
19,801,615,92,90
20,799,618,91,91
21,798,619,89,89
22,799,620,88,89
23,798,621,90,90
24,795,622,90,89
25,789,622,90,88
26,786,622,89,88
27,784,622,89,88
28,782,622,89,88
29,777,621,87,88
30,769,616,88,86
31,760,612,91,87
32,752,610,99,89
33,744,608,88,86
34,734,609,89,86
35,723,614,88,88
36,704,616,89,86
37,693,614,89,87
38,688,614,94,89
39,680,614,92,87
40,675,614,90,87
41,671,614,88,87
42,668,616,86,85
43,662,617,88,86
44,654,618,91,84
45,650,620,85,84
47,669,617,95,84
48,679,600,85,79
49,681,571,85,82
50,686,553,89,91
51,694,539,101,100
52,708,526,120,98
53,709,511,100,94
54,717,502,89,82
55,728,496,91,86
56,730,491,90,80
57,730,491,90,81
58,727,493,89,82
59,724,475,90,120
60,732,457,86,83
61,736,425,84,85
62,738,409,89,100
63,740,387,91,103
64,746,360,85,108
65,745,336,89,100
66,747,324,79,77
68,742,316,86,86
69,742,317,88,86
70,743,322,85,86
71,744,330,84,81
72,747,345,82,81
73,755,359,84,93
74,758,382,80,116
75,760,410,86,115
76,764,450,84,124
77,766,482,85,101
78,772,514,81,81
79,775,492,83,84
80,770,476,92,113
81,765,446,86,106
82,762,421,85,109
83,758,399,86,104
84,747,386,86,84
85,740,369,88,80
86,735,354,87,89
87,733,347,94,95
88,726,341,95,86
89,719,344,88,83
90,708,350,85,82
91,698,361,84,82
92,692,368,86,99
93,682,389,87,105
94,676,410,92,111
95,671,426,87,88
96,666,456,84,89
97,657,473,91,127
98,655,482,85,93
99,660,451,93,142
100,671,399,90,136
101,675,373,88,86
102,685,327,84,85
103,699,284,85,86
104,711,257,88,92
105,718,237,96,88
106,721,223,90,94
107,725,214,89,89
108,732,201,87,83
109,731,201,87,85
110,733,201,89,84
111,735,204,87,88
112,732,212,89,88
113,726,223,96,85
114,720,237,88,83
115,708,260,89,83
116,708,272,92,102
117,709,306,86,114
118,710,344,87,120
119,711,374,86,118
120,712,406,81,84
121,713,429,81,137
121,713,450,83,96
122,715,483,86,143
123,713,504,88,89
124,704,484,93,116
125,695,450,90,116
126,690,432,82,85
127,680,392,87,83
128,674,364,93,96
129,665,342,88,98
130,659,329,86,91
131,655,322,85,83
132,646,324,85,82
133,638,327,83,82
134,629,333,84,84
135,625,342,88,97
136,615,356,90,100
137,609,368,88,90
138,602,388,78,82
